molecule_smi,synthesis_success
Cc1ccc(C(=O)Nc2ccc(CN3CCN(C)CC3)c(C(F)(F)F)c2)cc1C#Cc1cnc2ccccn12,1
Cc1ccc(C(=O)Nc2ccc(CN3CCN(C)CC3)c(C(F)(F)F)c2)cc1C#Cc1cnc2ccc(C(F)(F)F)cn12,0
Cc1ccc(C(=O)Nc2ccc(CN3CCN(C)CC3)c(C(F)(F)F)c2)cc1C#Cc1cnc2cccnn12,1
Cc1ccc(C(=O)Nc2ccc(CN3CCN(C)CC3)c(C(F)(F)F)c2)cc1C#Cc1cncc2nccn12,1
Cc1ccc(C(=O)Nc2ccc(CN3CCN(C)CC3)c(C(F)(F)F)c2)cc1C#Cc1cnc2cnccn12,1
Cc1ccc(C(=O)Nc2ccc(CN3CCN(C)CC3)c(C(F)(F)F)c2)cc1C#Cc1cncn1C,1
Cc1ccc(C(=O)Nc2ccc(CN3CCN(C)CC3)c(C(F)(F)F)c2)cc1C#Cc1cnc2cn[nH]c2c1,0
Cc1ccc(C(=O)Nc2ccc(CN3CCN(C)CC3)c(C(F)(F)F)c2)cc1C#Cc1ccc(N)nc1,1
Cc1ccc(C(=O)Nc2ccc(CN3CCN(C)CC3)c(C(F)(F)F)c2)cc1C#Cc1cnc2nccn2c1,0
Cc1ccc(C(=O)Nc2ccc(CN3CCN(C)CC3)c(C(F)(F)F)c2)cc1C#Cc1cncc2nc[nH]c12,1
Cc1ccc(C(=O)Nc2ccc(CN3CCN(CCO)CC3)c(C(F)(F)F)c2)cc1C#Cc1cnc2ccccn12,1
Cc1ccc(C(=O)Nc2ccc(CN3CCN(CCO)CC3)c(C(F)(F)F)c2)cc1C#Cc1cnc2ccc(C(F)(F)F)cn12,1
Cc1ccc(C(=O)Nc2ccc(CN3CCN(CCO)CC3)c(C(F)(F)F)c2)cc1C#Cc1cnc2cccnn12,1
Cc1ccc(C(=O)Nc2ccc(CN3CCN(CCO)CC3)c(C(F)(F)F)c2)cc1C#Cc1cncc2nccn12,1
Cc1ccc(C(=O)Nc2ccc(CN3CCN(CCO)CC3)c(C(F)(F)F)c2)cc1C#Cc1cnc2cnccn12,1
Cc1ccc(C(=O)Nc2ccc(CN3CCN(CCO)CC3)c(C(F)(F)F)c2)cc1C#Cc1cnccn1,0
Cc1ccc(C(=O)Nc2ccc(CN3CCN(CCO)CC3)c(C(F)(F)F)c2)cc1C#Cc1cccnc1,0
Cc1ccc(C(=O)Nc2ccc(CN3CCN(CCO)CC3)c(C(F)(F)F)c2)cc1C#Cc1cnc2nccn2c1,0
Cc1ccc(C(=O)Nc2ccc(CN3CCN(CCO)CC3)c(C(F)(F)F)c2)cc1C#Cc1cncc2nc[nH]c12,1
Cc1ccc(C(=O)Nc2ccc(CN3CCC(O)CC3)c(C(F)(F)F)c2)cc1C#Cc1cncc2nccn12,1
Cc1ccc(C(=O)Nc2ccc(CN3CCC(O)CC3)c(C(F)(F)F)c2)cc1C#Cc1cnc2cnccn12,0
Cc1ccc(C(=O)Nc2ccc(CN3CCC(O)CC3)c(C(F)(F)F)c2)cc1C#Cc1cncn1C,1
Cc1ccc(C(=O)Nc2ccc(CN3CCC(O)CC3)c(C(F)(F)F)c2)cc1C#Cc1cnc2ccccc2n1,1
Cc1ccc(C(=O)Nc2ccc(CN3CCC(O)CC3)c(C(F)(F)F)c2)cc1C#Cc1cnc2[nH]ccc2n1,1
Cc1ccc(C(=O)Nc2ccc(CN3CCC(O)CC3)c(C(F)(F)F)c2)cc1C#Cc1ccncc1,1
Cc1ccc(C(=O)Nc2ccc(CN3CCC(O)CC3)c(C(F)(F)F)c2)cc1C#Cc1cccc(F)c1,1
Cc1ccc(C(=O)Nc2ccc(CN3CCC(O)CC3)c(C(F)(F)F)c2)cc1C#Cc1ccc(F)cc1,1
Cc1ccc(C(=O)Nc2ccc(CN3CCC(O)CC3)c(C(F)(F)F)c2)cc1C#Cc1ccc(N)nc1,1
Cc1ccc(C(=O)Nc2ccc(Cn3ccnc3)c(C(F)(F)F)c2)cc1C#Cc1cnc2cccnn12,0
Cc1ccc(C(=O)Nc2ccc(Cn3ccnc3)c(C(F)(F)F)c2)cc1C#Cc1cncc2nccn12,1
Cc1ccc(C(=O)Nc2ccc(Cn3ccnc3)c(C(F)(F)F)c2)cc1C#Cc1cnc2cnccn12,0
Cc1ccc(C(=O)Nc2ccc(Cn3ccnc3)c(C(F)(F)F)c2)cc1C#Cc1ccccn1,1
Cc1ccc(C(=O)Nc2ccc(Cn3ccnc3)c(C(F)(F)F)c2)cc1C#Cc1ccccc1,1
Cc1ccc(C(=O)Nc2ccc(Cn3ccnc3)c(C(F)(F)F)c2)cc1C#Cc1cccc(F)c1,1
Cc1ccc(C(=O)Nc2ccc(Cn3ccnc3)c(C(F)(F)F)c2)cc1C#Cc1cnc2nccn2c1,0
Cc1ccc(C(=O)Nc2ccc(Cn3ccnc3)c(C(F)(F)F)c2)cc1C#Cc1cncc2nc[nH]c12,0
