Compound,SMILES,R1,R2,R3,DENV % @ 50 uM,WNV % @ 50 uM,DENV2proHeLa % @ 12.5 uM,DENV2proHeLa EC50 (uM),CC50 (uM),thrombin % @ 25 uM,trypsin % @ 50 uM,virus titer reduction assay % @ 12.5 uM,virus titer reduction assay EC50 (uM)
1,O=C(CCCCC)N[C@@H](C1=CC=C(OCC2=CC=CC=C2)C=C1)C(N3CCCCC3)=O,O=CCCCCC,N[C@H](C=O)C1=CC=C(C=C1)OCC2=CC=CC=C2,N1CCCCC1,n.i.,19.7 +/- 4.2,58.3 +/- 6.8,12.6 +/- 1.4,28.8 +/- 3.2,10.0 +/- 4.8,n.i.,,
2,O=C(CCCCC)N[C@@H](C1=CC=C(OCC2=CC=CC=C2)C=C1)C(NCC3=CC=CC=C3)=O,O=CCCCCC,N[C@H](C=O)C1=CC=C(C=C1)OCC2=CC=CC=C2,NCC(/C=C)=C/C,n.i.,n.i.,n.i.,n.d.,> 50,n.i.,n.i.,,
3,O=C(CCCCC)N[C@@H](C1=CC=C(OCC2=CC=CC=C2)C=C1)C(NCCC3=CC=CC=C3)=O,O=CCCCCC,N[C@H](C=O)C1=CC=C(C=C1)OCC2=CC=CC=C2,NCCC1=CC=CC=C1,n.i.,15.1 +/- 1.9,n.d.,n.d.,< 12.5,n.i.,n.i.,,
4,O=C(CCCCC)N[C@@H](C1=CC=C(OCC2=CC=CC=C2)C=C1)C(NCC3=CC=C(Cl)C=C3)=O,O=CCCCCC,N[C@H](C=O)C1=CC=C(C=C1)OCC2=CC=CC=C2,NCC1=CC=C(C=C1)Cl,n.i.,n.i.,13.8 +/- 7.5,n.d.,> 50,n.i.,n.i.,,
5,O=C(CCCCC)N[C@@H](C1=CC=C(OCC2=CC=CC=C2)C=C1)C(NC3=CC=C(OC)C=C3)=O,O=CCCCCC,N[C@H](C=O)C1=CC=C(C=C1)OCC2=CC=CC=C2,NC1=CC=C(C=C1)OC,n.i.,n.i.,10.2 +/- 3.5,n.d.,> 25,n.i.,n.i.,,
6,O=C(CCCCC)N[C@@H](C1=CC=C(OCC2=CC=CC=C2)C=C1)C(NCC3=CC=C(OC)C=C3)=O,O=CCCCCC,N[C@H](C=O)C1=CC=C(C=C1)OCC2=CC=CC=C2,NCC1=CC=C(C=C1)OC,n.i.,n.i.,35.0 +/- 7.4,28.2 +/- 2.3,> 50,n.i.,n.i.,,
7,O=C(CCCCC)N[C@@H](C1=CC=C(OCC2=CC=CC=C2)C=C1)C(NCC3=CC(OC)=CC=C3)=O,O=CCCCCC,N[C@H](C=O)C1=CC=C(C=C1)OCC2=CC=CC=C2,NCC1=CC(OC)=CC=C1,n.i.,n.i.,n.i.,n.d.,> 50,n.i.,n.i.,,
8,O=C(CCCCC)N[C@@H](C1=CC=C(OCC2=CC=CC=C2)C=C1)C(NC3=CC=C(OCC4=CC=CC=C4)C=C3)=O,O=CCCCCC,N[C@H](C=O)C1=CC=C(C=C1)OCC2=CC=CC=C2,NC1=CC=C(C=C1)OCC2=CC=CC=C2,12.1 +/- 4.2,16.1 +/- 3.6,n.i.,n.d.,> 50,n.i.,11.7 +/- 2.7,,
9,O=C(CCCCC)N[C@@H](C1=CC=C(OCC2=CC=CC=C2)C=C1)C(NC3=CC=C(CO)C=C3)=O,O=CCCCCC,N[C@H](C=O)C1=CC=C(C=C1)OCC2=CC=CC=C2,NC1=CC=C(C=C1)CO,n.i.,20.2 +/- 4.8,47.7 +/- 7.2,18.4 +/- 0.7,> 50,12.0 +/- 2.2,10.2 +/- 2.2,,
10,O=C(CCCCC)N[C@@H](C1=CC=C(OCC2=CC=CC=C2)C=C1)C(NCCC3=CC=C(O)C=C3)=O,O=CCCCCC,N[C@H](C=O)C1=CC=C(C=C1)OCC2=CC=CC=C2,NCCC1=CC=C(C=C1)O,n.i.,n.i.,57.7 +/- 3.5,9.7 +/- 0.2,> 25,n.i.,11.4 +/- 1.9,,
11,O=C(CCCCC)N[C@@H](C1=CC=C(OCC2=CC=CC=C2)C=C1)C(N3CCC(C(N)=O)CC3)=O,O=CCCCCC,N[C@H](C=O)C1=CC=C(C=C1)OCC2=CC=CC=C2,NC(C1CCNCC1)=O,n.i.,n.i.,28.3 +/- 2.0,n.d.,> 50,n.i.,11.2 +/- 3.4,,
