"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties"
"CHEMBL210070";"";"0";"568.79";"2";"6.46";"42";"Cc1cccc(NC(=O)N(Cc2ccc(-c3[nH]nc4c3Cc3cc(CN5CCN(C)CC5)ccc3-4)s2)CC(C)C)c1";"IC50";"'='";"17239.0";"nM";"4.76";"";"";"UO_0000065";"8.37";"0.16";"-1.70";"7.06";"0";"CHEMBL869849";"Inhibition of cKit at 1 mM ATP by HTRF assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1936";"Stem cell growth factor receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1146863";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2006";"None";""
"CHEMBL1940178";"";"0";"438.58";"0";"4.76";"15a";"CCc1cc2c(cc1N1CCN(C3CC3)CC1)C(C)(C)c1[nH]c3cc(C#N)ccc3c1C2=O";"IC50";"'>'";"5000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL1942687";"Inhibition of KIT using Bio-HER2tide as substrate by TR-FRET assay in presence of 50 uM of ATP";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL1936";"Stem cell growth factor receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1938232";"1";"Scientific Literature";"Bioorg. Med. Chem.";"2012";"None";""
"CHEMBL245362";"";"0";"323.42";"0";"4.45";"19a";"CCCC(=O)Nc1cccc2c1Cc1c-2n[nH]c1-c1ccsc1";"IC50";"'='";"9540.0";"nM";"5.02";"";"";"UO_0000065";"15.52";"0.30";"0.57";"8.69";"0";"CHEMBL906391";"Inhibition of c-Kit by HTRF assay";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL1936";"Stem cell growth factor receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1139908";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2007";"None";""
"CHEMBL246343";"";"0";"339.38";"0";"2.52";"9d";"O=C(O)CNC(=O)c1cccc2c1Cc1c-2n[nH]c1-c1ccsc1";"IC50";"'='";"5150.0";"nM";"5.29";"";"";"UO_0000065";"15.58";"0.30";"2.77";"5.56";"0";"CHEMBL906391";"Inhibition of c-Kit by HTRF assay";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL1936";"Stem cell growth factor receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1139908";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2007";"None";""
"CHEMBL245377";"";"0";"523.66";"1";"4.33";"20e";"CN1CCN(CC(=O)Nc2cccc3c2Cc2c-3n[nH]c2-c2csc(C#CCOc3ccccc3)c2)CC1";"IC50";"'='";"49.0";"nM";"7.31";"";"";"UO_0000065";"13.96";"0.26";"2.98";"9.95";"0";"CHEMBL906391";"Inhibition of c-Kit by HTRF assay";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL1936";"Stem cell growth factor receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1139908";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2007";"None";""
"CHEMBL120185";"";"0";"472.57";"0";"4.12";"59";"CN1CCN(c2ccc3c(n2)nc(-c2ccc(F)cc2)n3-c2ccnc(NC3CCCC3)n2)CC1";"IC50";"'>'";"10000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL664301";"Inhibition of human c-Kit kinase";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1936";"Stem cell growth factor receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1147483";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2004";"None";""
"CHEMBL74646";"";"0";"398.36";"1";"5.52";"66";"Fc1cc(Nc2nnc(Cc3ccncc3)c3ccccc23)cc(C(F)(F)F)c1";"IC50";"'>'";"10000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL769328";"Inhibition of Proto-oncogene tyrosine-kinase c-Kit";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1936";"Stem cell growth factor receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1133741";"1";"Scientific Literature";"J. Med. Chem.";"2000";"None";""
"CHEMBL75232";"";"0";"464.91";"1";"5.01";"CGP-79787D";"Clc1ccc(Nc2nnc(Cc3ccncc3)c3ccccc23)cc1.O=C(O)CCC(=O)O";"IC50";"'='";"700.0";"nM";"6.16";"";"";"UO_0000065";"17.75";"0.34";"1.14";"12.14";"0";"CHEMBL769328";"Inhibition of Proto-oncogene tyrosine-kinase c-Kit";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1936";"Stem cell growth factor receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1133741";"1";"Scientific Literature";"J. Med. Chem.";"2000";"None";""
"CHEMBL247434";"";"0";"497.43";"0";"3.72";"36";"CNC(=O)c1cc(CNc2ncsc2C(=O)Nc2ccc3c(c2)OC(F)(F)C(F)(F)O3)ccn1";"IC50";"'='";"12.0";"nM";"7.92";"";"";"UO_0000065";"15.92";"0.32";"4.20";"6.92";"0";"CHEMBL922915";"Inhibition of human recombinant cKit by FRET assay";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL1936";"Stem cell growth factor receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1140657";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2007";"None";""
"CHEMBL247030";"";"0";"498.49";"0";"4.03";"11";"COCCCNC(=O)c1cc(CNc2ccccc2C(=O)Nc2ccc3c(c2)OC(F)(F)O3)ccn1";"IC50";"'='";"19.0";"nM";"7.72";"";"";"UO_0000065";"15.49";"0.29";"3.69";"6.97";"0";"CHEMBL922915";"Inhibition of human recombinant cKit by FRET assay";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL1936";"Stem cell growth factor receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1140657";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2007";"None";""
