name,smiles
22-1,N=C(OC)C(C=C1)=CN2C1=NC=C2C#C
22-2,C#CC1=CN=C2N1C=CC=C2
22-3,FC(F)(F)C(C=C1)=CN2C1=NC=C2C#C
22-4,C#CC1=CN=C2N1N=CC=C2
22-5,C#CC1=CN=CC2=NC=CN12
22-6,C#CC1=CN=C2N1C=CN=C2
22-7,CN1C=NC=C1C#C
22-8,C#CC1=CC=CC=N1
22-9,C#CC1=CN=CC=N1
22-10,C#CC(C=N1)=NC2=C1C=CC=C2
22-11,C#CC1=CN=C(NC=C2)C2=N1
22-12,C#CC1=CN=C(C=CC=N2)C2=C1
22-13,C#CC1=CN=C(SC=N2)C2=C1
22-14,C#CC1=CN=C(C=NN2)C2=C1
22-15,C#CC1=CC=CN=C1
22-16,C#CC1=CC=NC=C1
22-17,C#CC1=CC=CC=C1
22-18,C#CC1=CC=CC(C#N)=C1
22-19,C#CC1=CC=CC(F)=C1
22-20,C#CC1=CC=C(F)C=C1
22-21,C#CC1=CN=CN=C1
22-22,C#CC1=CN=C(NC2=CC=CC=C2)N=C1
22-23,NC1=NC=C(C#C)C=C1
22-24,C#CC1=C(F)C=CC=C1
22-25,C[Si](C)(C)C#CC(C=N1)=CN2C1=NC=C2
22-26,C[Si](C)(C)C#CC1=CN=CC2=C1NC=N2
22-27,CC1=NC=C(C#C)S1
,
,
,
