E_hull,mu_mu_B,m_star,m_e_star,m_h_star,E_f,bandgap,molcat,metal,halogen
0.0,0.0,7.11,            7.14,         >1000,-0.565,2.54,H3S,In,Cl
0.0,20.0,44.46,         >1000,           44.46,-0.467,1.52,MP,Mn,Cl
0.0,0.0,0.34,            0.35,            6.64,-1.056,3.9999999999999996,NH4,Ca,Br
0.0,0.0,0.52,            1.09,            0.99,-0.415,3.06,MP,Ge,Cl
0.0,0.0,363.95,         >1000,          417.06,-0.231,1.03,H3S,Te,Br
0.0,0.0,10.15,           42.32,           13.36,-0.317,0.39,NH4,Au,I
0.0,0.0,0.63,            0.94,            1.88,-0.545,0.0,NH4,Tl,Br
0.0,0.0,0.64,            0.68,           10.54,-0.679,4.04,MP,Ca,Br
0.0,0.0,0.42,            1.23,            0.64,-0.457,2.3000000000000003,MP,Sn,Cl
0.0,0.0,7.8,           46.03,            9.39,-0.852,3.23,NH4,Ca,I
0.0,0.0,40.75,           49.20,          237.09,-0.514,0.8900000000000001,NH4,Au,Cl
0.0,0.0,1.84,            4.32,            3.20,-0.635,2.17,NH4,Sn,Br
0.0,0.0,0.84,            1.01,            5.18,-0.759,4.5,G,Ca,Br
0.0,0.0,2.27,            2.45,           30.80,-0.75,3.5100000000000002,NH4,Sn,Cl
0.0,0.0,1.76,            9.12,            2.19,-0.479,1.7200000000000002,NH4,Sn,I
0.0,0.0,3.52,            5.64,            9.39,-0.802,2.43,NH4,Pb,Cl
0.0,0.0,0.55,            0.55,           40.79,-0.549,3.1199999999999997,MP,Sr,I
0.0,0.0,1.99,            4.88,            3.36,-0.386,2.51,G,Sn,I
0.0,0.0,1.1,            1.11,          160.36,-0.433,4.26,MP,Be,Br
0.0,16.0,1000.0,         >1000,         >1000,-0.509,-0.01,NH4,Fe,Br
0.0,0.0,0.56,            0.56,          353.87,-0.887,4.94,NH4,Be,Cl
0.0,0.0,0.42,            0.43,           10.10,-0.776,3.4899999999999998,NH4,Cd,Cl
0.0,0.0,2.5,            7.51,            3.76,-0.528,1.25,NH4,Pb,I
0.0,0.0,0.54,            0.55,           25.10,-0.497,2.99,G,Zn,Br
0.0,0.0,8.15,           10.33,           38.51,-0.234,1.43,MS,Te,Br
0.0,0.0,3.55,            3.76,           64.81,-0.586,2.94,G,Pb,Cl
0.0,0.0,2.73,            3.04,           27.21,-0.499,3.31,H3S,Ge,Cl
0.0,20.0,42.24,         >1000,           42.27,-0.227,1.03,MP,Mn,I
0.0,0.0,0.64,            0.67,           13.88,-0.507,3.3,G,Cd,Br
0.0,0.0,3.43,            4.07,           21.76,-0.393,2.1,G,Cd,I
0.0,0.0,0.5,            1.38,            0.79,-0.693,2.84,NH4,Ge,Cl
0.0,0.0,0.78,            0.81,           28.03,-0.583,4.13,G,Cd,Cl
0.0,0.0,43.22,           59.31,          159.26,-1.334,4.05,NH4,Ge,F
0.0,0.0,0.42,            0.44,           11.27,-1.211,5.11,NH4,Ca,Cl
0.0,0.0,0.99,            1.01,           88.94,-0.858,5.06,G,Ca,Cl
0.0,0.0,8.45,           11.27,           33.82,-0.499,2.0199999999999996,H3S,Pb,Br
0.0,0.0,1.27,            1.32,           31.50,-0.534,3.13,MP,Ca,I
0.0,0.0,2.35,            3.36,            7.80,-0.57,3.2,NH4,Ge,Br
0.0,0.0,2.59,            2.82,           31.94,-0.515,2.53,G,Pb,Br
0.0,20.0,113.91,          148.99,          483.71,-0.76,1.99,NH4,Mn,Cl
0.0,12.0,55.42,         >1000,           55.42,-0.59,-0.01,NH4,Co,Cl
0.0,0.0,8.97,            9.29,          259.89,-0.561,5.04,MP,Be,Cl
0.0,0.0,13.78,           14.55,          260.48,-0.559,3.68,G,Sn,Cl
0.0,0.0,4.66,           13.89,            7.02,-0.274,1.8,H3S,Sn,I
0.0,0.0,0.55,            0.56,           31.36,-0.605,2.33,NH4,Hg,Cl
0.0,0.0,0.6,            0.62,           25.57,-0.761,4.41,G,Sr,Br
0.0,0.0,0.78,            0.94,            4.70,-0.416,1.9099999999999997,G,Pb,I
0.0,0.0,0.22,            0.58,            0.35,-0.373,1.44,MP,Sn,Br
